foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
440,3,198.65814835602316,528.3429368565753
442,2,231.6597292407636,545.7848960950848
442,3,198.797007956168,528.3400846811935
444,2,231.7838090181957,545.7224915096027
444,3,198.93586755631281,528.3372325058117
446,2,231.90788879562783,545.6600869241206
446,3,199.07472715645764,528.3343803304299
448,2,232.03196857305994,545.5976823386385
448,3,199.21358675660247,528.3315281550481
450,2,232.15604835049206,545.5352777531564
450,3,199.3524463567473,528.3286759796663
452,2,232.28012812792417,545.4728731676743
452,3,199.49130595689212,528.3258238042845
454,2,232.4042079053563,545.4104685821922
454,3,199.63016555703695,528.3229716289027
456,2,232.5282876827884,545.34806399671
456,3,199.76902515718177,528.3201194535209
458,2,232.65236746022052,545.2856594112279
458,3,199.9078847573266,528.3172672781391
460,2,232.77644723765263,545.2232548257458
460,3,200.04674435747143,528.3144151027573
462,2,232.90052701508475,545.1608502402637
462,3,200.18560395761625,528.3115629273755
464,2,233.02460679251686,545.0984456547816
464,3,200.32446355776108,528.3087107519937
466,2,233.14868656994898,545.0360410692995
466,3,200.4633231579059,528.3058585766119
468,2,233.2727663473811,544.9736364838174
468,3,200.60218275805073,528.30300640123
470,2,233.3968461248132,544.9112318983352
470,3,200.74104235819556,528.3001542258482
472,2,233.52092590224532,544.8488273128531
472,3,200.87990195834038,528.2973020504664
474,2,233.64500567967744,544.786422727371
474,3,201.0187615584852,528.2944498750846
476,2,233.76908545710955,544.7240181418889
476,3,201.15762115863004,528.2915976997028
478,2,233.89316523454167,544.6616135564068
478,3,201.29648075877486,528.288745524321
480,2,234.01724501197378,544.5992089709247
480,3,201.4353403589197,528.2858933489392
482,2,234.1413247894059,544.5368043854426
482,3,201.57419995906452,528.2830411735574
484,2,234.26540456683801,544.4743997999605
484,3,201.71305955920934,528.2801889981756
486,2,234.38948434427013,544.4119952144783
486,3,201.85191915935417,528.2773368227938
488,2,234.51356412170225,544.3495906289962
488,3,201.990778759499,528.274484647412
490,2,234.63764389913436,544.2871860435141
490,3,202.12963835964382,528.2716324720302
492,2,234.76172367656648,544.224781458032
492,3,202.26849795978865,528.2687802966484
494,2,234.8858034539986,544.1623768725499
494,3,202.40735755993347,528.2659281212666
496,2,235.0098832314307,544.0999722870678
496,3,202.5462171600783,528.2630759458848
498,2,235.13396300886282,544.0375677015857
498,3,202.68507676022313,528.260223770503
500,2,235.25804278629494,543.9751631161035
500,3,202.82393636036795,528.2573715951212
502,2,235.38212256372705,543.9127585306214
502,3,202.96279596051278,528.2545194197394
504,2,235.50620234115917,543.8503539451393
504,3,203.1016555606576,528.2516672443576
506,2,235.63028211859128,543.7879493596572
506,3,203.24051516080243,528.2488150689758
508,2,235.7543618960234,543.7255447741751
508,3,203.37937476094726,528.245962893594
510,2,235.8784416734555,543.663140188693
510,3,203.51823436109208,528.2431107182122
512,2,236.00252145088763,543.6007356032109
512,3,203.6570939612369,528.2402585428304
514,2,236.12660122831974,543.5383310177288
514,3,203.79595356138174,528.2374063674486
516,2,236.25068100575186,543.4759264322466
516,3,203.93481316152656,528.2345541920668
518,2,236.37476078318397,543.4135218467645
518,3,204.0736727616714,528.231702016685
520,2,236.4988405606161,543.3511172612824
520,3,204.21253236181622,528.2288498413031
522,2,236.6229203380482,543.2887126758003
522,3,204.35139196196104,528.2259976659213
524,2,236.74700011548032,543.2263080903182
524,3,204.49025156210587,528.2231454905395
526,2,236.87107989291243,543.1639035048361
526,3,204.6291111622507,528.2202933151577
528,2,236.99515967034455,543.101498919354
528,3,204.76797076239552,528.2174411397759
530,2,237.11923944777666,543.0390943338718
530,3,204.90683036254035,528.2145889643941
532,2,237.24331922520878,542.9766897483897
532,3,205.04568996268517,528.2117367890123
534,2,237.3673990026409,542.9142851629076
534,3,205.18454956283,528.2088846136305
536,2,237.491478780073,542.8518805774255
536,3,205.32340916297483,528.2060324382487
538,2,237.61555855750512,542.7894759919434
538,3,205.46226876311965,528.2031802628669
540,2,237.73963833493724,542.7270714064613
540,3,205.60112836326448,528.2003280874851
542,2,237.86371811236936,542.6646668209792
542,3,205.7399879634093,528.1974759121033
544,2,237.98779788980147,542.602262235497
544,3,205.87884756355413,528.1946237367215
546,2,238.11187766723359,542.5398576500149
546,3,206.01770716369896,528.1917715613397
548,2,238.2359574446657,542.4774530645328
548,3,206.15656676384378,528.1889193859579
550,2,238.36003722209782,542.4150484790507
550,3,206.2954263639886,528.1860672105761
552,2,238.48411699952993,542.3526438935686
552,3,206.43428596413344,528.1832150351943
554,2,238.60819677696205,542.2902393080865
554,3,206.57314556427826,528.1803628598125
556,2,238.73227655439416,542.2278347226044
556,3,206.7120051644231,528.1775106844307
558,2,238.85635633182628,542.1654301371223
