foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
90,4724.0-4284.0,152.5298693588715,458.4136407379217
90,3231.0-4357.0,191.17473756195707,505.0577676707703
90,6647.0-1667.0,165.69064109928144,474.34357963640747
90,2156.0-3675.0,206.4007823178206,520.417318782517
90,5181.0-1973.0,159.86360677848842,494.8850191527697
90,3656.0-4008.0,206.63513299253427,538.7710608206207
90,310.0-2884.0,169.26988386118614,511.13059202215254
92,2972.0-292.0,85.54840140322041,257.6383976296329
92,6213.0-113.0,119.8370285405111,267.582900247863
92,8551.0-1532.0,183.65220082823927,281.4122514629761
92,7762.0-3912.0,98.50577369921034,355.96726785140663
92,7588.0-2816.0,159.48280717644738,299.7193343735239
92,7616.0-4572.0,127.84146926429248,362.45673911760673
92,382.0-2828.0,83.32742879012548,336.98477896365654
92,6586.0-2842.0,92.91933589542948,402.88375730241523
92,6589.0-916.0,183.38738430919406,336.4964579838613
92,2018.0-3491.0,199.27209638657374,383.6837196030215
92,7974.0-3062.0,123.60663319211076,361.29492438027285
92,9522.0-4450.0,175.09463684345837,405.1926487171298
92,5557.0-3147.0,137.7067642797881,376.6856739955293
92,9936.0-4094.0,185.04123632624174,421.8947186184595
92,6862.0-1202.0,139.4866673467914,395.18806354155595
92,5451.0-2256.0,157.86157913688646,449.38546437052787
92,7879.0-4282.0,138.2670051609552,414.6190490085182
92,8906.0-4866.0,168.98922275092093,464.5060418380656
92,7278.0-3462.0,157.50366417861798,429.09008683289983
92,5934.0-1830.0,165.39583714264728,486.9926761393182
92,4724.0-4284.0,149.94024783754045,449.6072352112312
92,3231.0-4357.0,188.1909921975968,496.3769738404271
92,6647.0-1667.0,164.38498782752674,465.25764614236175
92,2156.0-3675.0,205.66963557153005,511.26721810767987
92,5181.0-1973.0,156.3789384905857,486.39290487848257
92,3656.0-4008.0,205.16593505987785,529.7101350754806
92,310.0-2884.0,166.86482622658477,502.2720020836515
92,7827.0-3507.0,205.55113721518973,548.6427532770932
94,6213.0-113.0,118.09107609271413,258.57120961988994
94,8551.0-1532.0,184.13015757273286,272.24543766129676
94,7762.0-3912.0,94.17225369700512,347.8753260378026
94,7588.0-2816.0,159.02111594641718,290.5516869581627
94,7616.0-4572.0,124.39579691451368,353.94872760008775
94,382.0-2828.0,79.50241234067474,328.6404295530855
94,6586.0-2842.0,87.47072842073237,395.4964983715979
94,6589.0-916.0,183.94961564164225,327.33442688518676
94,2018.0-3491.0,198.83440396381798,374.5148950727271
94,7974.0-3062.0,121.06707464811281,352.47395162632597
94,9522.0-4450.0,173.16865007108547,396.21771178827566
94,5557.0-3147.0,135.68151719457794,367.7326135038252
94,9936.0-4094.0,183.50501397941375,412.84491537057767
94,6862.0-1202.0,137.29153290800076,386.2751345774106
94,5451.0-2256.0,153.9791828332988,441.0676571555129
94,7879.0-4282.0,135.61897454803324,405.83003018971397
94,8906.0-4866.0,165.38998021569645,456.0618502783663
94,7278.0-3462.0,156.09771343765323,420.0191320629626
94,5934.0-1830.0,160.5699245814687,479.1843801743765
94,4724.0-4284.0,147.3506263162094,440.80082968454076
94,3231.0-4357.0,185.20724683323655,487.69618001008394
94,6647.0-1667.0,163.07933455577205,456.17171264831603
94,2156.0-3675.0,204.9384888252395,502.11711743284275
94,5181.0-1973.0,152.894270202683,477.90079060419544
94,3656.0-4008.0,203.69673712722144,520.6492093303405
94,310.0-2884.0,164.4597685919834,493.41341214515046
94,7827.0-3507.0,201.28058601766813,540.5174034142497
96,6213.0-113.0,114.90654384628127,249.96204750643807
96,8551.0-1532.0,184.6081143172264,263.07862385961744
96,7762.0-3912.0,89.8387336947999,339.7833842241986
96,7588.0-2816.0,158.55942471638696,281.3840395428015
96,7616.0-4572.0,120.95012456473488,345.44071608256877
96,382.0-2828.0,75.677395891224,320.2960801425144
96,6586.0-2842.0,82.02212094603527,388.1092394407806
96,6589.0-916.0,184.51184697409045,318.1723957865122
96,2018.0-3491.0,198.3967115410622,365.3460705424327
96,7974.0-3062.0,118.52751610411485,343.6529788723791
96,9522.0-4450.0,171.24266329871259,387.2427748594215
96,5557.0-3147.0,133.65627010936774,358.779553012121
96,9936.0-4094.0,181.96879163258575,403.79511212269585
96,6862.0-1202.0,135.0963984692101,377.36220561326525
96,5451.0-2256.0,150.09678652971118,432.74984994049794
96,7879.0-4282.0,132.97094393511128,397.04101137090976
96,8906.0-4866.0,161.79073768047198,447.61765871866703
96,7278.0-3462.0,154.69176269668847,410.9481772930254
96,5934.0-1830.0,155.74401202029014,471.3760842094348
96,4724.0-4284.0,144.76100479487835,431.9944241578503
96,3231.0-4357.0,182.2235014688763,479.01538617974074
96,6647.0-1667.0,161.77368128401736,447.0857791542703
96,2156.0-3675.0,204.20734207894893,492.9670167580056
96,5181.0-1973.0,149.4096019147803,469.4086763299083
96,3656.0-4008.0,202.22753919456503,511.58828358520026
96,310.0-2884.0,162.054710957382,484.5548222066494
96,7827.0-3507.0,197.01003482014653,532.3920535514061
96,6228.0-2468.0,205.62159821455035,548.6138486544457
98,6213.0-113.0,111.74425786677034,241.34468913463675
98,8551.0-1532.0,185.08607106172,253.91181005793808
98,7762.0-3912.0,85.50521369259468,331.69144241059456
98,7588.0-2816.0,153.46532451075856,273.7480025458192
98,7616.0-4572.0,117.50445221495607,336.9327045650498
98,382.0-2828.0,71.85237944177325,311.95173073194337
98,6586.0-2842.0,76.57351347133817,380.72198050996326
98,6589.0-916.0,185.07407830653864,309.01036468783764
98,2018.0-3491.0,197.95901911830643,356.1772460121383
98,7974.0-3062.0,115.9879575601169,334.8320061184322
98,9522.0-4450.0,169.31667652633968,378.26783793056734
98,5557.0-3147.0,131.63102302415757,349.8264925204169
98,9936.0-4094.0,180.43256928575775,394.74530887481404
98,6862.0-1202.0,132.90126403041944,368.4492766491199
98,5451.0-2256.0,146.21439022612353,424.432042725483
98,7879.0-4282.0,130.32291332218932,388.25199255210555
98,8906.0-4866.0,158.1914951452475,439.17346715896775
98,7278.0-3462.0,153.28581195572372,401.8772225230882
98,5934.0-1830.0,150.91809945911157,463.5677882444931
98,4724.0-4284.0,142.1713832735473,423.1880186311598
98,3231.0-4357.0,179.23975610451603,470.33459234939755
98,6647.0-1667.0,160.46802801226266,437.9998456602246
98,2156.0-3675.0,203.47619533265836,483.8169160831685
98,5181.0-1973.0,145.9249336268776,460.91656205562117
98,3656.0-4008.0,200.7583412619086,502.52735784006006
98,310.0-2884.0,159.64965332278064,475.6962322681484
98,7827.0-3507.0,192.73948362262493,524.2667036885625
98,6228.0-2468.0,201.17334846152514,540.5844033399189
100,6213.0-113.0,108.60913619992205,232.71741088142593
100,8551.0-1532.0,185.56402780621355,244.74499625625873
100,7762.0-3912.0,81.17169369038946,323.59950059699054
100,7616.0-4572.0,114.05877986517727,328.4246930475308
100,382.0-2828.0,68.02736299232251,303.6073813213723
100,6586.0-2842.0,71.12490599664108,373.33472157914593
100,6589.0-916.0,185.63630963898683,299.8483335891631
100,2018.0-3491.0,197.52132669555064,347.0084214818439
100,7974.0-3062.0,113.44839901611894,326.01103336448534
100,9522.0-4450.0,167.3906897539668,369.2929010017132
100,5557.0-3147.0,129.60577593894737,340.8734320287127
100,9936.0-4094.0,178.89634693892975,385.69550562693223
100,6862.0-1202.0,130.7061295916288,359.53634768497454
100,5451.0-2256.0,142.3319939225359,416.114235510468
100,7879.0-4282.0,127.67488270926738,379.46297373330134
100,8906.0-4866.0,154.59225261002302,430.7292755992685
100,7278.0-3462.0,151.87986121475896,392.806267753151
100,5934.0-1830.0,146.092186897933,455.7594922795514
100,4724.0-4284.0,139.58176175221627,414.3816131044693
100,3231.0-4357.0,176.2560107401558,461.65379851905436
100,6647.0-1667.0,159.16237474050797,428.9139121661789
100,2156.0-3675.0,202.7450485863678,474.6668154083314
100,5181.0-1973.0,142.44026533897488,452.42444778133404
100,3656.0-4008.0,199.2891433292522,493.46643209491987
100,310.0-2884.0,157.24459568817926,466.83764232964734
100,7827.0-3507.0,188.46893242510333,516.141353825719
100,6228.0-2468.0,196.72509870849993,532.5549580253921
100,8405.0-3560.0,208.18121156645995,547.591390031693
100,8503.0-4757.0,172.61303126013115,519.9442455804588
102,6213.0-113.0,105.50847693889351,224.07768692337822
102,8551.0-1532.0,186.04198455070713,235.57818245457938
102,7762.0-3912.0,76.83817368818424,315.5075587833865
102,7616.0-4572.0,110.61310751539847,319.91668153001183
102,382.0-2828.0,64.20234654287177,295.26303191080126
102,6586.0-2842.0,65.67629852194398,365.9474626483286
102,6589.0-916.0,186.19854097143502,290.6863024904885
102,2018.0-3491.0,197.08363427279488,337.83959695154954
102,7974.0-3062.0,110.90884047212099,317.19006061053847
102,9522.0-4450.0,165.46470298159392,360.317964072859
102,5557.0-3147.0,127.58052885373719,331.9203715370086
102,9936.0-4094.0,177.36012459210176,376.6457023790504
102,6862.0-1202.0,128.51099515283818,350.6234187208292
102,5451.0-2256.0,138.44959761894825,407.79642829545304
102,7879.0-4282.0,125.02685209634544,370.67395491449713
102,8906.0-4866.0,150.99301007479855,422.2850840395692
102,7278.0-3462.0,150.4739104737942,383.7353129832138
102,5934.0-1830.0,141.26627433675444,447.9511963146097
102,4724.0-4284.0,136.99214023088524,405.57520757777877
102,3231.0-4357.0,173.27226537579554,452.97300468871117
102,6647.0-1667.0,157.85672146875328,419.82797867213316
