fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
514,2526.0-1740.0,166.9714900847281,389.93080762720473
514,1826.0-4509.0,177.87871955747778,373.4575098629221
514,7065.0-3633.0,176.24114857719073,367.8047869908103
514,9001.0-3896.0,165.03481445054172,334.4283127658605
514,5992.0-1456.0,144.89573184385998,273.0783925378541
514,1514.0-1676.0,109.23873606175556,192.43128644187144
514,6576.0-367.0,105.87961033640457,181.1653443797184
516,5578.0-4829.0,178.80678790576638,438.6312611758056
516,1472.0-148.0,196.6450411946526,425.91027038412017
516,5939.0-570.0,194.4735337630846,420.46680306718133
516,9508.0-1629.0,168.0673951888001,411.2379428672766
516,1936.0-2289.0,188.68468129731292,397.55091770682594
516,9204.0-4395.0,186.4242889947077,392.14411723188044
516,2526.0-1740.0,167.9179190879426,392.71152432210897
516,1826.0-4509.0,178.94727033821758,376.1936225112656
516,7065.0-3633.0,177.3117705942012,370.5400898428063
516,9001.0-3896.0,166.10603129303703,337.16338272324714
516,5992.0-1456.0,145.9735759590867,275.81085758954566
516,1514.0-1676.0,110.17112383657525,195.21674264020083
516,6576.0-367.0,106.80859824342544,183.9519363240213
518,5578.0-4829.0,179.71220875211458,441.4255994313579
518,1472.0-148.0,197.7197737799861,428.6439607589555
518,5939.0-570.0,195.54612009347645,423.201336255735
518,9508.0-1629.0,168.9765102630428,414.0310814204511
518,1936.0-2289.0,189.77117322444093,400.27995572190207
518,9204.0-4395.0,187.50792874220411,394.8742890383957
518,2526.0-1740.0,168.86434809115713,395.4922410170132
518,1826.0-4509.0,180.01582111895738,378.92973515960904
518,7065.0-3633.0,178.38239261121166,373.2753926948023
518,9001.0-3896.0,167.17724813553235,339.8984526806338
518,5992.0-1456.0,147.05142007431343,278.54332264123724
518,1514.0-1676.0,111.10351161139494,198.00219883853023
518,6576.0-367.0,107.73758615044632,186.7385282683242
520,1472.0-148.0,198.7945063653196,431.3776511337908
520,5939.0-570.0,196.6187064238683,425.93586944428864
520,9508.0-1629.0,169.8856253372855,416.82421997362553
520,1936.0-2289.0,190.85766515156894,403.0089937369782
520,9204.0-4395.0,188.59156848970053,397.604460844911
520,2526.0-1740.0,169.81077709437162,398.27295771191746
520,1826.0-4509.0,181.08437189969717,381.6658478079525
520,7065.0-3633.0,179.45301462822212,376.0106955467983
520,9001.0-3896.0,168.2484649780277,342.63352263802045
520,5992.0-1456.0,148.12926418954015,281.2757876929288
520,1514.0-1676.0,112.03589938621462,200.78765503685963
520,6576.0-367.0,108.6665740574672,189.5251202126271
522,1472.0-148.0,199.79823376374517,434.1382026194716
522,5939.0-570.0,197.69129275426016,428.6704026328423
522,9508.0-1629.0,170.8307150460692,419.60539214337626
522,1936.0-2289.0,191.94415707869695,405.7380317520543
522,9204.0-4395.0,189.67520823719695,400.33463265142626
522,2526.0-1740.0,170.7572060975861,401.0536744068217
522,1826.0-4509.0,182.15292268043697,384.40196045629597
522,7065.0-3633.0,180.52363664523259,378.74599839879426
522,9001.0-3896.0,169.31968182052302,345.3685925954071
522,5992.0-1456.0,149.20710830476688,284.0082527446204
522,1514.0-1676.0,112.96828716103431,203.57311123518903
522,6576.0-367.0,109.59556196448807,192.31171215692999
524,1472.0-148.0,200.80196116217076,436.8987541051524
524,5939.0-570.0,198.76387908465202,431.40493582139595
524,9508.0-1629.0,171.7758047548529,422.386564313127
524,1936.0-2289.0,193.03064900582496,408.46706976713045
524,9204.0-4395.0,190.75884798469338,403.06480445794153
524,2526.0-1740.0,171.70363510080062,403.83439110172594
524,1826.0-4509.0,183.22147346117677,387.13807310463943
524,7065.0-3633.0,181.59425866224305,381.48130125079024
524,9001.0-3896.0,170.39089866301833,348.10366255279376
524,5992.0-1456.0,150.2849524199936,286.74071779631197
524,1514.0-1676.0,113.900674935854,206.35856743351843
524,6576.0-367.0,110.52454987150895,195.09830410123288
526,5939.0-570.0,199.83646541504388,434.1394690099496
526,9508.0-1629.0,172.72089446363663,425.16773648287773
526,1936.0-2289.0,194.11714093295296,411.1961077822066
526,9204.0-4395.0,191.8424877321898,405.7949762644568
526,2526.0-1740.0,172.65006410401512,406.6151077966302
526,1826.0-4509.0,184.29002424191657,389.8741857529829
526,7065.0-3633.0,182.6648806792535,384.2166041027862
526,9001.0-3896.0,171.46211550551365,350.8387325101804
526,5992.0-1456.0,151.36279653522033,289.47318284800355
526,1514.0-1676.0,114.83306271067369,209.14402363184783
526,6576.0-367.0,111.45353777852984,197.88489604553578
528,5939.0-570.0,200.90905174543573,436.87400219850326
528,9508.0-1629.0,173.66598417242034,427.94890865262846
528,1936.0-2289.0,195.20363286008097,413.9251457972827
528,9204.0-4395.0,192.92612747968622,408.5251480709721
528,2526.0-1740.0,173.5964931072296,409.3958244915344
528,1826.0-4509.0,185.35857502265637,392.61029840132636
528,7065.0-3633.0,183.73550269626398,386.9519069547822
528,9001.0-3896.0,172.53333234800897,353.5738024675671
528,5992.0-1456.0,152.44064065044705,292.2056478996951
528,1514.0-1676.0,115.76545048549337,211.92947983017723
528,6576.0-367.0,112.38252568555072,200.67148798983868
530,5939.0-570.0,201.9816380758276,439.6085353870569
530,9508.0-1629.0,174.61107388120405,430.7300808223792
530,1936.0-2289.0,196.29012478720898,416.65418381235884
530,9204.0-4395.0,194.0097672271826,411.25531987748735
530,2526.0-1740.0,174.54292211044412,412.17654118643867
530,1826.0-4509.0,186.42712580339617,395.3464110496698
530,7065.0-3633.0,184.80612471327444,389.6872098067782
530,9001.0-3896.0,173.60454919050431,356.30887242495373
530,5992.0-1456.0,153.51848476567378,294.9381129513867
530,1514.0-1676.0,116.69783826031306,214.71493602850663
530,6576.0-367.0,113.3115135925716,203.45807993414158
532,5939.0-570.0,203.05422440621945,442.3430685756106
532,9508.0-1629.0,175.55616358998776,433.5112529921299
532,1936.0-2289.0,197.37661671433696,419.38322182743497
532,9204.0-4395.0,195.09340697467903,413.9854916840026
532,2526.0-1740.0,175.4893511136586,414.9572578813429
532,1826.0-4509.0,187.49567658413596,398.0825236980133
532,7065.0-3633.0,185.8767467302849,392.42251265877417
532,9001.0-3896.0,174.67576603299963,359.0439423823404
532,5992.0-1456.0,154.5963288809005,297.6705780030783
532,1514.0-1676.0,117.63022603513275,217.50039222683603
532,6576.0-367.0,114.24050149959247,206.24467187844448
534,5939.0-570.0,204.1268107366113,445.0776017641642
534,1936.0-2289.0,198.46310864146497,422.1122598425111
534,9204.0-4395.0,196.17704672217542,416.7156634905179
534,2526.0-1740.0,176.4357801168731,417.73797457624715
534,1826.0-4509.0,188.56422736487576,400.81863634635675
534,7065.0-3633.0,186.94736874729537,395.15781551077015
534,9001.0-3896.0,175.74698287549495,361.77901233972705
534,5992.0-1456.0,155.67417299612723,300.40304305476985
534,1514.0-1676.0,118.56261380995244,220.28584842516543
534,6576.0-367.0,115.16948940661334,209.03126382274738
536,1936.0-2289.0,199.54960056859295,424.8412978575872
536,9204.0-4395.0,197.26068646967184,419.44583529703317
536,2526.0-1740.0,177.38220912008762,420.5186912711514
536,1826.0-4509.0,189.63277814561556,403.5547489947002
536,7065.0-3633.0,188.01799076430584,397.89311836276613
536,9001.0-3896.0,176.81819971799027,364.5140822971137
536,5992.0-1456.0,156.75201711135395,303.13550810646143
536,1514.0-1676.0,119.49500158477213,223.07130462349483
536,6576.0-367.0,116.09847731363422,211.81785576705028
538,1936.0-2289.0,200.63609249572096,427.57033587266335
538,9204.0-4395.0,198.34432621716826,422.17600710354844
538,2526.0-1740.0,178.3286381233021,423.29940796605564
538,1826.0-4509.0,190.70132892635536,406.2908616430437
538,7065.0-3633.0,189.0886127813163,400.6284212147621
538,9001.0-3896.0,177.88941656048559,367.24915225450036
538,5992.0-1456.0,157.82986122658068,305.867973158153
538,1514.0-1676.0,120.42738935959181,225.85676082182422
538,6576.0-367.0,117.0274652206551,214.60444771135317
540,1936.0-2289.0,201.72258442284897,430.2993738877395
540,9204.0-4395.0,199.42796596466468,424.9061789100637
540,2526.0-1740.0,179.27506712651663,426.0801246609599
540,1826.0-4509.0,191.76987970709516,409.02697429138715
540,7065.0-3633.0,190.15923479832676,403.3637240667581
540,9001.0-3896.0,178.96063340298093,369.984222211887
540,5992.0-1456.0,158.9077053418074,308.6004382098446
540,1514.0-1676.0,121.3597771344115,228.64221702015362
540,6576.0-367.0,117.95645312767597,217.39103965565607
542,1936.0-2289.0,202.69665792134074,433.07052780172205
542,9204.0-4395.0,200.5116057121611,427.636350716579
542,2526.0-1740.0,180.22149612973112,428.8608413558641
542,1826.0-4509.0,192.0967798021288,411.94609222722187
542,7065.0-3633.0,191.22985681533723,406.0990269187541
542,9001.0-3896.0,180.03185024547625,372.7192921692737
542,5992.0-1456.0,159.98554945703412,311.33290326153616
542,1514.0-1676.0,122.29216490923119,231.42767321848302
542,6576.0-367.0,118.88544103469684,220.17763159995897
544,1936.0-2289.0,203.67073141983252,435.8416817157046
544,9204.0-4395.0,201.59524545965752,430.36652252309426
544,2526.0-1740.0,181.1679251329456,431.64155805076837
544,1826.0-4509.0,192.42367989716243,414.8652101630566
544,7065.0-3633.0,192.3004788323477,408.83432977075006
544,9001.0-3896.0,181.10306708797157,375.4543621266603
544,5992.0-1456.0,161.06339357226085,314.06536831322774
544,1514.0-1676.0,123.22455268405088,234.21312941681242
